account_id,account_name,owner_segment,plan_tier,status,mrr,expansion_mrr,risk_bucket,renewal_month,contract_start
A-100,Acme Cloud,Enterprise,Enterprise,active,48000,6200,low,2025-06,2023-06
A-101,North Ridge,Mid-Market,Growth,active,18400,2400,medium,2025-05,2024-05
A-102,Blue Orbit,SMB,Starter,active,3400,200,low,2025-04,2024-10
A-103,Helio Systems,Enterprise,Enterprise,at_risk,52100,0,high,2025-03,2023-03
A-104,Vector Health,Mid-Market,Growth,active,19600,1800,medium,2025-08,2024-02
A-105,Studio Works,SMB,Starter,churned,2200,0,critical,2025-02,2024-08
A-106,Pinnacle Corp,Enterprise,Enterprise,active,67000,8400,low,2025-09,2022-09
A-107,Bright Data,Mid-Market,Growth,active,14200,1100,low,2025-07,2024-01
A-108,Leaf Analytics,SMB,Starter,active,2800,150,low,2025-06,2024-11
A-109,Titan Networks,Enterprise,Enterprise,active,55000,4300,medium,2025-04,2023-04
A-110,Coral Systems,Mid-Market,Growth,at_risk,16800,0,high,2025-03,2024-03
A-111,Spark Labs,SMB,Starter,active,4100,350,low,2025-08,2024-07
A-112,Quantum AI,Enterprise,Enterprise,active,72000,9100,low,2025-10,2022-10
A-113,Mesa Partners,Mid-Market,Growth,active,21000,2800,low,2025-06,2023-12
A-114,Orbit Micro,SMB,Starter,churned,1800,0,critical,2025-01,2024-07
A-115,Cascade Tech,Enterprise,Enterprise,at_risk,43000,0,high,2025-05,2023-05
A-116,Summit Group,Mid-Market,Growth,active,17500,1500,medium,2025-09,2024-03
A-117,Pixel Works,SMB,Starter,active,3900,280,low,2025-07,2024-09
A-118,Nova Dynamics,Enterprise,Enterprise,active,61000,7200,low,2025-11,2022-11
A-119,Green Valley,Mid-Market,Growth,active,15800,1200,low,2025-04,2024-04
A-120,Atlas Core,SMB,Starter,at_risk,2400,0,high,2025-03,2024-09
A-121,Prism Health,Enterprise,Enterprise,active,58000,5600,low,2025-08,2023-02
A-122,Wave Digital,Mid-Market,Growth,churned,12000,0,critical,2025-02,2024-02
A-123,Crest Solutions,SMB,Starter,active,3600,220,low,2025-10,2024-12
A-124,Forge Industries,Enterprise,Enterprise,active,49000,4800,medium,2025-06,2023-06
A-125,Relay Systems,Mid-Market,Growth,active,20200,2100,low,2025-07,2023-07
A-126,Micro Stack,SMB,Starter,active,2900,170,low,2025-05,2024-11
A-127,Apex Platform,Enterprise,Enterprise,active,75000,10200,low,2025-12,2022-06
A-128,Delta Cloud,Mid-Market,Growth,at_risk,13500,0,high,2025-04,2024-04
A-129,Seed Finance,SMB,Starter,active,4500,400,low,2025-09,2024-06
A-130,Zenith Corp,Enterprise,Enterprise,active,63000,7800,low,2025-10,2023-01
