txn_id,customer_id,merchant_id,amount_usd,status,region,branch_id,txn_ts
T001,C001,M-amzn,84.20,approved,NA-NE,NYC-042,2026-04-20T08:14:00Z
T002,C002,M-walmart,162.00,approved,NA-W,SFO-007,2026-04-20T08:32:00Z
T003,C001,M-amzn,4900.00,approved,NA-NE,NYC-042,2026-04-20T22:11:00Z
T004,C004,M-darknet1,2700.00,declined,EMEA,LON-018,2026-04-20T22:14:00Z
T005,C008,M-darknet1,3200.00,declined,EMEA,LON-018,2026-04-20T22:18:00Z
T006,C005,M-target,242.50,approved,NA-SE,ATL-011,2026-04-21T09:04:00Z
T007,C006,M-apple,1180.00,approved,NA-W,SEA-004,2026-04-21T10:41:00Z
T008,C010,M-home,1580.25,approved,NA-W,SFO-007,2026-04-21T15:30:00Z
T009,C003,M-amzn,440.00,approved,NA-NE,BOS-015,2026-04-22T11:01:00Z
T010,C004,M-travel,5200.00,approved,EMEA,LON-018,2026-04-22T14:18:00Z
T011,C007,M-grocery,76.11,approved,NA-SE,ATL-011,2026-04-23T07:40:00Z
T012,C008,M-darknet1,4100.00,declined,EMEA,LON-018,2026-04-23T23:09:00Z
T013,C001,M-travel,2200.00,approved,NA-NE,NYC-042,2026-04-24T18:21:00Z
T014,C002,M-amzn,93.42,approved,NA-W,SFO-007,2026-04-24T19:44:00Z
T015,C009,M-apple,890.00,approved,NA-NE,NYC-042,2026-04-25T13:17:00Z
T016,C005,M-darknet1,1800.00,declined,NA-SE,ATL-011,2026-04-25T23:22:00Z
T017,C006,M-walmart,338.20,approved,NA-W,SEA-004,2026-04-26T09:30:00Z
T018,C003,M-home,2800.00,approved,NA-NE,BOS-015,2026-04-26T12:08:00Z

